"","N","n2","v1","es1","es2","power","pnexch","pnexch_cutoff","pnexch_cutoff2_power","pnexch_cutoff797_power","pnexch_cutoff8_power","pnexch_cutoff9_power","n2mult_c"
"1",200,0.1,NA,0.1,0.1,0.0175,0.2213,NA,0.3756,0.0065,0.0065,0.0023,"n2 = 0.1*N"
"2",400,0.1,NA,0.1,0.1,0.0205,0.18057,NA,0.2214,0.0073,0.0073,0.0027,"n2 = 0.1*N"
"3",600,0.1,NA,0.1,0.1,0.0284,0.1586,NA,0.1777,0.0058,0.0058,0.0021,"n2 = 0.1*N"
"4",800,0.1,NA,0.1,0.1,0.0316,0.14284,NA,0.1482,0.0047,0.0046,0.0018,"n2 = 0.1*N"
"5",1000,0.1,NA,0.1,0.1,0.0315,0.13049,NA,0.1229,0.0049,0.0049,0.0017,"n2 = 0.1*N"
"6",200,0.25,NA,0.1,0.1,0.0238,0.18136,NA,0.2241,0.0077,0.0077,0.002,"n2 = 0.25*N"
"7",400,0.25,NA,0.1,0.1,0.0305,0.1402,NA,0.1377,0.0046,0.0046,0.0016,"n2 = 0.25*N"
"8",600,0.25,NA,0.1,0.1,0.0343,0.12065,NA,0.107,0.005,0.005,0.0021,"n2 = 0.25*N"
"9",800,0.25,NA,0.1,0.1,0.0361,0.10788,NA,0.0925,0.0035,0.0034,0.0015,"n2 = 0.25*N"
"10",1000,0.25,NA,0.1,0.1,0.0386,0.1,NA,0.0813,0.0038,0.0038,0.0014,"n2 = 0.25*N"
"11",200,0.1,NA,0.1,0.2,0.2242,0.41738,NA,0.7241,0.1433,0.1433,0.0849,"n2 = 0.1*N"
"12",400,0.1,NA,0.1,0.2,0.3962,0.48743,NA,0.743,0.2381,0.2381,0.157,"n2 = 0.1*N"
"13",600,0.1,NA,0.1,0.2,0.5501,0.56248,NA,0.8085,0.3355,0.3354,0.2395,"n2 = 0.1*N"
"14",800,0.1,NA,0.1,0.2,0.6688,0.63445,NA,0.8548,0.4352,0.4299,0.3269,"n2 = 0.1*N"
"15",1000,0.1,NA,0.1,0.2,0.7643,0.70212,NA,0.8944,0.5309,0.5304,0.4268,"n2 = 0.1*N"
"16",200,0.25,NA,0.1,0.2,0.362,0.47565,NA,0.7558,0.2004,0.2004,0.1284,"n2 = 0.25*N"
"17",400,0.25,NA,0.1,0.2,0.6597,0.63452,NA,0.86,0.4236,0.4206,0.3194,"n2 = 0.25*N"
"18",600,0.25,NA,0.1,0.2,0.8391,0.7645,NA,0.9318,0.6225,0.6225,0.5115,"n2 = 0.25*N"
"19",800,0.25,NA,0.1,0.2,0.9298,0.85436,NA,0.9719,0.7594,0.7594,0.6643,"n2 = 0.25*N"
"20",1000,0.25,NA,0.1,0.2,0.972,0.9121,NA,0.9873,0.8567,0.8567,0.7824,"n2 = 0.25*N"
"21",200,0.1,NA,0.1,0.3,0.5766,0.68365,NA,0.9352,0.4687,0.4687,0.3548,"n2 = 0.1*N"
"22",400,0.1,NA,0.1,0.3,0.8662,0.85055,NA,0.9781,0.7478,0.7478,0.6523,"n2 = 0.1*N"
"23",600,0.1,NA,0.1,0.3,0.9626,0.93452,NA,0.9941,0.8931,0.8931,0.8364,"n2 = 0.1*N"
"24",800,0.1,NA,0.1,0.3,0.9925,0.97637,NA,0.9984,0.966,0.9657,0.9394,"n2 = 0.1*N"
"25",1000,0.1,NA,0.1,0.3,0.9988,0.99101,NA,0.9999,0.9886,0.9886,0.9765,"n2 = 0.1*N"
"26",200,0.25,NA,0.1,0.3,0.865,0.85608,NA,0.9865,0.7449,0.7449,0.6448,"n2 = 0.25*N"
"27",400,0.25,NA,0.1,0.3,0.9903,0.97541,NA,0.9984,0.9641,0.963,0.9375,"n2 = 0.25*N"
"28",600,0.25,NA,0.1,0.3,0.9999,0.99663,NA,1,0.9959,0.9959,0.9912,"n2 = 0.25*N"
"29",800,0.25,NA,0.1,0.3,1,0.99966,NA,1,0.9997,0.9997,0.9995,"n2 = 0.25*N"
"30",1000,0.25,NA,0.1,0.3,1,0.99997,NA,1,1,1,1,"n2 = 0.25*N"
"31",200,0.1,NA,0.1,0.4,0.8604,0.8799,NA,0.9909,0.7948,0.7948,0.7041,"n2 = 0.1*N"
"32",400,0.1,NA,0.1,0.4,0.9868,0.9779,NA,0.9993,0.9668,0.9668,0.9431,"n2 = 0.1*N"
"33",600,0.1,NA,0.1,0.4,0.9996,0.99716,NA,0.9999,0.996,0.996,0.9933,"n2 = 0.1*N"
"34",800,0.1,NA,0.1,0.4,0.9999,0.99964,NA,1,0.9997,0.9997,0.9993,"n2 = 0.1*N"
"35",1000,0.1,NA,0.1,0.4,1,0.99999,NA,1,1,1,1,"n2 = 0.1*N"
"36",200,0.25,NA,0.1,0.4,0.9912,0.9828,NA,0.9997,0.9755,0.9755,0.9532,"n2 = 0.25*N"
"37",400,0.25,NA,0.1,0.4,1,0.99971,NA,1,0.9999,0.9999,0.9995,"n2 = 0.25*N"
"38",600,0.25,NA,0.1,0.4,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"39",800,0.25,NA,0.1,0.4,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"40",1000,0.25,NA,0.1,0.4,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"41",200,0.1,NA,0.1,0.5,0.9745,0.96946,NA,0.9992,0.9564,0.9564,0.9186,"n2 = 0.1*N"
"42",400,0.1,NA,0.1,0.5,1,0.99901,NA,1,0.9995,0.9995,0.9981,"n2 = 0.1*N"
"43",600,0.1,NA,0.1,0.5,1,0.99998,NA,1,1,1,1,"n2 = 0.1*N"
"44",800,0.1,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"45",1000,0.1,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"46",200,0.25,NA,0.1,0.5,1,0.99914,NA,1,0.9995,0.9995,0.9978,"n2 = 0.25*N"
"47",400,0.25,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"48",600,0.25,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"49",800,0.25,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"50",1000,0.25,NA,0.1,0.5,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"51",200,0.1,NA,0.1,0.6,0.9975,0.99495,NA,1,0.9944,0.9944,0.9872,"n2 = 0.1*N"
"52",400,0.1,NA,0.1,0.6,1,0.99998,NA,1,1,1,1,"n2 = 0.1*N"
"53",600,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"54",800,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"55",1000,0.1,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"56",200,0.25,NA,0.1,0.6,1,0.99995,NA,1,0.9999,0.9999,0.9998,"n2 = 0.25*N"
"57",400,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"58",600,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"59",800,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"60",1000,0.25,NA,0.1,0.6,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"61",200,0.1,NA,0.1,0.7,0.9998,0.99948,NA,1,0.9994,0.9994,0.9992,"n2 = 0.1*N"
"62",400,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"63",600,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"64",800,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"65",1000,0.1,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"66",200,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"67",400,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"68",600,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"69",800,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"70",1000,0.25,NA,0.1,0.7,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"71",200,0.1,NA,0.1,0.8,1,0.99998,NA,1,1,1,1,"n2 = 0.1*N"
"72",400,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"73",600,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"74",800,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"75",1000,0.1,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"76",200,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"77",400,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"78",600,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"79",800,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"80",1000,0.25,NA,0.1,0.8,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"81",200,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"82",400,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"83",600,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"84",800,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"85",1000,0.1,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.1*N"
"86",200,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"87",400,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"88",600,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"89",800,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
"90",1000,0.25,NA,0.1,0.9,1,1,NA,1,1,1,1,"n2 = 0.25*N"
